player_name,raid_name,boss_name,raid_difficulty,total_pulls
xaelrahk,liberation of undermine,"mug'zee, heads of security",mythic,6
stwrithe,liberation of undermine,"mug'zee, heads of security",heroic,4
jumzo,liberation of undermine,one-armed bandit,mythic,172
lehvin,liberation of undermine,"mug'zee, heads of security",heroic,1
drottmonk,liberation of undermine,"mug'zee, heads of security",heroic,2
yearning,liberation of undermine,chrome king gallywix,mythic,296
mægisk,liberation of undermine,chrome king gallywix,heroic,46
cutefist,liberation of undermine,cauldron of carnage,heroic,3
shadowxmorn,liberation of undermine,cauldron of carnage,mythic,2
televisions,liberation of undermine,vexie and the geargrinders,mythic,21
budgetgoku,liberation of undermine,"mug'zee, heads of security",mythic,402
bakatoxo,liberation of undermine,sprocketmonger lockenstock,heroic,1
rabïd,liberation of undermine,sprocketmonger lockenstock,mythic,22
koriekin,liberation of undermine,chrome king gallywix,mythic,296
wanchan,liberation of undermine,one-armed bandit,mythic,172
unrecorded,liberation of undermine,chrome king gallywix,heroic,18
rundervink,liberation of undermine,vexie and the geargrinders,mythic,2
roropriest,liberation of undermine,chrome king gallywix,heroic,23
swannie,liberation of undermine,rik reverb,heroic,4
oceanblvd,liberation of undermine,chrome king gallywix,heroic,1
swannie,liberation of undermine,cauldron of carnage,mythic,8
bamoo,liberation of undermine,sprocketmonger lockenstock,heroic,3
neutralized,liberation of undermine,"mug'zee, heads of security",mythic,50
gemmers,liberation of undermine,chrome king gallywix,heroic,1
explorer,liberation of undermine,vexie and the geargrinders,heroic,21
incila,liberation of undermine,one-armed bandit,heroic,1
bigboiples,liberation of undermine,one-armed bandit,mythic,86
hobbyalkis,liberation of undermine,one-armed bandit,heroic,27
coreydlr,liberation of undermine,vexie and the geargrinders,heroic,1
nocturaia,liberation of undermine,"mug'zee, heads of security",mythic,54
brraga,liberation of undermine,sprocketmonger lockenstock,heroic,2
sassaki,liberation of undermine,vexie and the geargrinders,heroic,2
gråphic,liberation of undermine,chrome king gallywix,heroic,1
asenae,liberation of undermine,cauldron of carnage,mythic,4
tk,liberation of undermine,sprocketmonger lockenstock,mythic,22
kranar,liberation of undermine,chrome king gallywix,heroic,1
unrecorded,liberation of undermine,vexie and the geargrinders,mythic,5
rabïd,liberation of undermine,"mug'zee, heads of security",heroic,2
ollieyay,liberation of undermine,vexie and the geargrinders,heroic,10
stalkyard,liberation of undermine,"mug'zee, heads of security",mythic,60
bensmonk,liberation of undermine,one-armed bandit,heroic,10
latomevo,liberation of undermine,chrome king gallywix,mythic,60
magicwingers,liberation of undermine,vexie and the geargrinders,mythic,21
turbohot,liberation of undermine,"mug'zee, heads of security",mythic,334
yevie,liberation of undermine,stix bunkjunker,heroic,1
twinkletoe,liberation of undermine,"mug'zee, heads of security",mythic,6
chokebo,liberation of undermine,one-armed bandit,heroic,2
jordanpriest,liberation of undermine,"mug'zee, heads of security",mythic,50
gnomerouge,liberation of undermine,cauldron of carnage,mythic,1
wärhok,liberation of undermine,one-armed bandit,mythic,48
fraumüller,liberation of undermine,"mug'zee, heads of security",heroic,12
irîs,liberation of undermine,one-armed bandit,heroic,1
slaybelle,liberation of undermine,"mug'zee, heads of security",heroic,1
vengaboysfan,liberation of undermine,vexie and the geargrinders,mythic,3
sillyguy,liberation of undermine,rik reverb,mythic,9
evereld,liberation of undermine,one-armed bandit,heroic,16
aenry,liberation of undermine,stix bunkjunker,mythic,26
yearning,liberation of undermine,cauldron of carnage,heroic,3
itsashameman,liberation of undermine,"mug'zee, heads of security",mythic,6
atomvoker,liberation of undermine,cauldron of carnage,mythic,1
sillyguy,liberation of undermine,rik reverb,heroic,1
vengaboysfan,liberation of undermine,rik reverb,mythic,2
unrecorded,liberation of undermine,vexie and the geargrinders,heroic,15
sillyguy,liberation of undermine,vexie and the geargrinders,heroic,1
enarya,liberation of undermine,chrome king gallywix,heroic,4
irni,liberation of undermine,chrome king gallywix,heroic,2
mergen,liberation of undermine,sprocketmonger lockenstock,mythic,52
henle,liberation of undermine,stix bunkjunker,mythic,9
kevi,liberation of undermine,sprocketmonger lockenstock,mythic,22
incila,liberation of undermine,chrome king gallywix,heroic,4
frenzyy,liberation of undermine,sprocketmonger lockenstock,mythic,34
hungbelf,liberation of undermine,rik reverb,mythic,9
iustitiæ,liberation of undermine,one-armed bandit,mythic,134
thornic,liberation of undermine,one-armed bandit,heroic,2
tapole,liberation of undermine,one-armed bandit,heroic,9
tikerr,liberation of undermine,sprocketmonger lockenstock,mythic,22
hungbelf,liberation of undermine,chrome king gallywix,heroic,3
monstercow,liberation of undermine,vexie and the geargrinders,heroic,2
