report_id,report_date,pull_number,killer_id,killing_ability_game_id,source_id,boss_difficulty,boss_name,start_time,end_time,player_name,death_timestamp,death_window,player_class,next_death_ts_1,next_death_ts_2,next_death_ts_3
RqBF9J8d7jKzpVDM,2025-06-30 Mon,29,68,1221224,-1,mythic,"mug'zee, heads of security",5769823,5817004,koriekin,5798270,9672,druid,5800198,5801559,5807787
jmpyLVFaKX8qvZD7,2025-06-11 Wed,30,96,1221224,-1,mythic,"mug'zee, heads of security",3556340,3699744,koriekin,3697972,3510,druid,3697973,3697974,3697977
RqBF9J8d7jKzpVDM,2025-06-30 Mon,31,3,468665,-1,mythic,"mug'zee, heads of security",5879609,6212497,willowwisp,6186382,40684,druid,6194325,6194328,6197849
jmpyLVFaKX8qvZD7,2025-06-11 Wed,32,96,1221224,-1,mythic,"mug'zee, heads of security",3774225,3814337,televisions,3796064,3168,priest,3796256,3796297,3796751
RqBF9J8d7jKzpVDM,2025-06-30 Mon,33,74,472659,-1,mythic,"mug'zee, heads of security",6309498,6432033,jumzo,6410131,0,paladin,6410133,6414114,6414611
jmpyLVFaKX8qvZD7,2025-06-11 Wed,34,96,469061,-1,mythic,"mug'zee, heads of security",3940919,4124199,budgetgoku,4092553,0,paladin,4096704,4097141,4101101
jmpyLVFaKX8qvZD7,2025-06-11 Wed,35,96,1221224,-1,mythic,"mug'zee, heads of security",4250562,4410876,koriekin,4400963,10858,druid,4400966,4400986,4401462
RqBF9J8d7jKzpVDM,2025-06-30 Mon,36,3,468665,-1,mythic,"mug'zee, heads of security",7143416,7364447,wanchan,7347429,30906,mage,7348036,7350091,7350507
jmpyLVFaKX8qvZD7,2025-06-11 Wed,37,-1,469052,-1,mythic,"mug'zee, heads of security",4513210,4703658,pattern,4663064,9348,warlock,4672183,4673083,4673084
BfWcKMdxybL1j9P7,2025-06-09 Mon,38,4,1218432,-1,mythic,"mug'zee, heads of security",7758708,7901097,turbohot,7860527,22779,hunter,7860527,7860599,7860599
BfWcKMdxybL1j9P7,2025-06-09 Mon,38,4,1218432,-1,mythic,"mug'zee, heads of security",7758708,7901097,turbohot,7860527,22779,hunter,7860599,7860599,7864490
jmpyLVFaKX8qvZD7,2025-06-11 Wed,39,85,469377,-1,mythic,"mug'zee, heads of security",4959008,5028136,koriekin,5009978,0,druid,5023870,5023871,5023873
pWxYMRbVZgAq3cJT,2025-07-09 Wed,40,29,469326,-1,mythic,chrome king gallywix,8067555,8230418,cutefist,8110446,0,monk,8110446,8110446,8110446
jmpyLVFaKX8qvZD7,2025-06-11 Wed,41,85,1216143,-1,mythic,"mug'zee, heads of security",5168508,5236993,koriekin,5232828,0,druid,5232829,5232831,5232833
pWxYMRbVZgAq3cJT,2025-07-09 Wed,42,29,469295,-1,mythic,chrome king gallywix,8376574,8499337,yeviel,8494754,10846,paladin,8494754,8494754,8494754
pWxYMRbVZgAq3cJT,2025-07-09 Wed,42,29,469295,-1,mythic,chrome king gallywix,8376574,8499337,yeviel,8494754,10846,paladin,8494754,8494754,8495657
pWxYMRbVZgAq3cJT,2025-07-09 Wed,42,29,469295,-1,mythic,chrome king gallywix,8376574,8499337,yeviel,8494754,10846,paladin,8494754,8495657,8495657
pWxYMRbVZgAq3cJT,2025-07-09 Wed,42,29,469295,-1,mythic,chrome king gallywix,8376574,8499337,yeviel,8494754,10846,paladin,8495657,8495657,8495657
jmpyLVFaKX8qvZD7,2025-06-11 Wed,43,166,1,-1,mythic,"mug'zee, heads of security",5370123,5496295,lenus,5491323,6050,demonhunter,5493342,5494489,5494491
pWxYMRbVZgAq3cJT,2025-07-09 Wed,44,29,466338,-1,mythic,chrome king gallywix,8563313,8728157,cutefist,8726962,1409,monk,8726962,8726962,8726962
pWxYMRbVZgAq3cJT,2025-07-09 Wed,44,29,466338,-1,mythic,chrome king gallywix,8563313,8728157,cutefist,8726962,1409,monk,8726962,8726962,8727100
pWxYMRbVZgAq3cJT,2025-07-09 Wed,44,29,466338,-1,mythic,chrome king gallywix,8563313,8728157,cutefist,8726962,1409,monk,8726962,8727100,8727100
pWxYMRbVZgAq3cJT,2025-07-09 Wed,44,29,466338,-1,mythic,chrome king gallywix,8563313,8728157,cutefist,8726962,1409,monk,8727100,8727100,8727100
jmpyLVFaKX8qvZD7,2025-06-11 Wed,45,96,469061,-1,mythic,"mug'zee, heads of security",5571802,5738568,cutefist,5714442,0,monk,5716227,5716413,5716682
jmpyLVFaKX8qvZD7,2025-06-11 Wed,46,85,1218077,-1,mythic,"mug'zee, heads of security",6916634,7171421,cutefist,7128998,3807,monk,7129856,7129956,7133054
pWxYMRbVZgAq3cJT,2025-07-09 Wed,47,29,469326,-1,mythic,chrome king gallywix,9267634,9431085,yeviel,9369326,0,paladin,9369326,9369326,9369326
jmpyLVFaKX8qvZD7,2025-06-11 Wed,48,94,1214991,-1,mythic,"mug'zee, heads of security",7274492,7461683,magicwingers,7429082,7544,evoker,7431428,7433073,7436378
jmpyLVFaKX8qvZD7,2025-06-11 Wed,49,96,469061,-1,mythic,"mug'zee, heads of security",7611158,7782520,cutefist,7752341,0,monk,7757537,7758921,7769926
